"","Type","Onset","Duration"
"1","Mic1",1.51625,0.0285
"2","Mic1",2.51625,0.0285
"3","Mic1",3.51625,0.0285
"4","Mic1",4.51625,0.0285
"5","Mic1",5.51625,0.02825
"6","Mic1",6.51625,0.0285
"7","Mic1",7.51625,0.02825
"8","Mic1",8.51625,0.02825
"9","Mic1",9.51625,0.02825
"10","Mic1",10.516,0.02875
"11","Mic1",11.51625,0.02825
"12","Mic1",12.516,0.0285
"13","Mic1",13.516,0.02875
"14","Mic1",14.51625,0.02825
"15","Mic1",15.51625,0.02825
"16","Mic1",16.516,0.0285
"17","Mic1",17.516,0.0285
"18","Mic1",18.51625,0.02825
"19","Mic1",19.51625,0.02825
"20","Mic1",20.516,0.0285
"21","Mic1",21.51625,0.02825
"22","Mic1",22.51625,0.02825
"23","Mic1",23.516,0.0285
"24","Mic1",24.51625,0.02825
"25","Mic1",25.516,0.0285
"26","Mic1",26.516,0.0285
"27","Mic1",27.516,0.0285
"28","Mic1",28.516,0.0285
"29","Mic1",29.516,0.0285
"30","Mic1",30.516,0.0285
"31","Mic1",31.516,0.0285
"32","Mic1",32.516,0.0285
"33","Mic1",33.516,0.0285
"34","Mic1",34.516,0.0285
"35","Mic1",35.516,0.0285
"36","Mic1",36.516,0.0285
"37","Mic1",37.516,0.02825
"38","Mic1",38.516,0.02825
"39","Mic1",39.516,0.0285
"40","Mic1",40.516,0.02825
"41","Mic1",41.51575,0.02875
"42","Mic1",42.51575,0.0285
"43","Mic1",43.516,0.02825
"44","Mic1",44.51575,0.02875
"45","Mic1",45.51575,0.0285
"46","Mic1",46.51575,0.0285
"47","Mic1",47.516,0.02825
"48","Mic1",48.516,0.02825
"49","Mic1",49.516,0.02825
"50","Mic1",50.516,0.02825
"51","Mic1",51.516,0.02825
"52","Mic1",52.516,0.02825
"53","Mic1",53.51575,0.0285
"54","Mic1",54.51575,0.0285
"55","Mic1",55.51575,0.0285
"56","Mic1",56.51575,0.0285
"57","Mic1",57.51575,0.0285
"58","Mic1",58.51575,0.0285
"59","Mic1",59.51575,0.0285
"60","Mic1",60.51575,0.0285
"61","Mic1",61.51575,0.0285
