,Type,Onset,Duration
1,Mic1,4.89625,0.025
2,Mic1,5.89625,0.02025
3,Mic1,6.90125,0.02
4,Mic1,7.89625,0.025
5,Mic1,8.8965,0.02475
6,Mic1,9.89625,0.025
7,Mic1,10.89625,0.025
8,Mic1,11.89625,0.025
9,Mic1,12.89625,0.025
10,Mic1,13.8965,0.02475
11,Mic1,14.8965,0.02475
12,Mic1,15.8965,0.02475
13,Mic1,16.8965,0.02475
14,Mic1,17.8965,0.02475
15,Mic1,18.8965,0.02475
16,Mic1,19.8965,0.02475
17,Mic1,20.8965,0.02475
18,Mic1,21.8965,0.02475
19,Mic1,22.8965,0.02475
20,Mic1,23.8965,0.02475
21,Mic1,24.8965,0.02475
22,Mic1,25.8965,0.02475
23,Mic1,26.8965,0.02475
24,Mic1,27.8965,0.02475
25,Mic1,28.8965,0.02475
26,Mic1,29.8965,0.02475
27,Mic1,30.8965,0.02475
28,Mic1,31.8965,0.02475
29,Mic1,32.8965,0.025
30,Mic1,33.8965,0.025
31,Mic1,34.8965,0.025
32,Mic1,35.8965,0.025
33,Mic1,36.8965,0.025
34,Mic1,37.8965,0.025
35,Mic1,38.8965,0.025
36,Mic1,39.8965,0.025
37,Mic1,40.8965,0.025
38,Mic1,41.8965,0.025
39,Mic1,42.8965,0.025
40,Mic1,43.8965,0.025
41,Mic1,44.8965,0.025
42,Mic1,45.89675,0.02475
43,Mic1,46.8965,0.025
44,Mic1,47.8965,0.025
45,Mic1,48.89675,0.02475
46,Mic1,49.89675,0.02475
47,Mic1,50.89675,0.02475
48,Mic1,51.89675,0.02475
49,Mic1,52.89675,0.02475
50,Mic1,53.89675,0.02475
51,Mic1,54.89675,0.02475
52,Mic1,55.89675,0.02475
53,Mic1,56.89675,0.02475
54,Mic1,57.89675,0.02475
55,Mic1,58.89675,0.02475
56,Mic1,59.89675,0.02475
57,Mic1,60.89675,0.02475
58,Mic1,61.89675,0.01975
59,Mic1,62.89675,0.01975
60,Mic1,63.89675,0.01975
61,Mic1,64.89675,0.02475
62,Mic1,65.89675,0.02475
63,Mic1,66.89675,0.02475
64,Mic1,67.89675,0.02
65,Mic1,68.89675,0.02
66,Mic1,69.89675,0.025
67,Mic1,70.89675,0.025
68,Mic1,71.89675,0.025
69,Mic1,72.89675,0.02
70,Mic1,73.89675,0.025
71,Mic1,74.90175,0.02
72,Mic1,75.90175,0.02
73,Mic1,76.89675,0.025
74,Mic1,77.89675,0.025
75,Mic1,78.89675,0.025
76,Mic1,79.897,0.02475
77,Mic1,80.89675,0.025
78,Mic1,81.89675,0.025
79,Mic1,82.89675,0.025
80,Mic1,83.897,0.02475
81,Mic1,84.89675,0.025
82,Mic1,85.897,0.02475
83,Mic1,86.897,0.02475
84,Mic1,87.897,0.02475
85,Mic1,88.897,0.02475
86,Mic1,89.897,0.01975
87,Mic1,90.897,0.02475
88,Mic1,91.902,0.01975
