Type,Onset,Duration
Mic1,203897.75,24.75
Mic1,204897.75,24.75
Mic1,205897.75,24.75
Mic1,206897.75,24.75
Mic1,207897.75,24.75
Mic1,208897.75,24.75
Mic1,209897.75,24.75
Mic1,210897.75,24.75
Mic1,211897.75,24.75
Mic1,212897.75,24.75
Mic1,213897.75,25.0
Mic1,214897.75,25.0
Mic1,215897.75,25.0
Mic1,216897.75,25.0
Mic1,217897.75,25.0
Mic1,218897.75,25.0
Mic1,219897.75,25.0
Mic1,220897.75,25.0
Mic1,221897.75,25.0
Mic1,222897.75,25.0
Mic1,223897.75,25.0
Mic1,224898.0,24.75
Mic1,225897.75,25.0
Mic1,226898.0,24.75
Mic1,227897.75,25.0
Mic1,228898.0,24.75
Mic1,229897.75,25.0
Mic1,230898.0,24.75
Mic1,231898.0,24.75
Mic1,232898.0,24.75
Mic1,233898.0,24.75
Mic1,234898.0,24.75
Mic1,235898.0,19.75
Mic1,236898.0,24.75
Mic1,237898.0,24.75
Mic1,238898.0,24.75
Mic1,239898.0,24.75
Mic1,240898.0,24.75
Mic1,241898.0,24.75
Mic1,242898.0,24.75
Mic1,243898.0,19.75
Mic1,244898.0,24.75
Mic1,245898.0,24.75
Mic1,246898.0,24.75
Mic1,247898.0,24.75
Mic1,248898.0,24.75
Mic1,249898.0,25.0
Mic1,250898.0,25.0
Mic1,251898.0,25.0
Mic1,252898.0,25.0
Mic1,253898.0,25.0
Mic1,254898.0,25.0
Mic1,255898.0,25.0
Mic1,256898.0,25.0
Mic1,257903.0,20.0
Mic1,258898.0,25.0
Mic1,259898.0,25.0
Mic1,260898.25,24.75
Mic1,261898.0,25.0
Mic1,262898.0,25.0
Mic1,263898.0,25.0
Mic1,264898.0,25.0
Mic1,265898.0,25.0
Mic1,266898.25,24.75
Mic1,267898.25,24.75
Mic1,268898.25,24.75
Mic1,269898.25,24.75
Mic1,270898.25,19.75
Mic1,271898.25,24.75
Mic1,272898.25,19.75
Mic1,273898.25,24.75
Mic1,274898.25,19.75
Mic1,275898.25,24.75
Mic1,276898.25,20.25
Mic1,277903.25,19.75
Mic1,278898.25,24.75
Mic1,279898.25,24.75
Mic1,280898.25,24.75
Mic1,281898.25,24.75
Mic1,282898.25,24.75
Mic1,283898.25,24.75
Mic1,284898.25,25.0
Mic1,285903.25,20.0
Mic1,286898.25,25.0
Mic1,287898.25,25.0
Mic1,288898.25,25.0
Mic1,289898.25,25.0
Mic1,290898.25,25.0
Mic1,291898.25,25.0
