,Type,Onset,Duration
191,Mic1,191.44775,0.0285
192,Mic1,192.44775,0.0285
193,Mic1,193.44775,0.0285
194,Mic1,194.44775,0.0285
195,Mic1,195.44775,0.0285
196,Mic1,196.44775,0.02775
197,Mic1,197.44775,0.0285
198,Mic1,198.44775,0.0285
199,Mic1,199.44775,0.0285
200,Mic1,200.4475,0.028
201,Mic1,201.4475,0.028
202,Mic1,202.4475,0.0285
203,Mic1,203.4475,0.02775
204,Mic1,204.4475,0.028
205,Mic1,205.4475,0.0285
206,Mic1,206.4475,0.0285
207,Mic1,207.4475,0.0285
208,Mic1,208.4475,0.0285
209,Mic1,209.4475,0.0285
210,Mic1,210.4475,0.0285
211,Mic1,211.4475,0.02775
212,Mic1,212.4475,0.02875
213,Mic1,213.4475,0.0285
214,Mic1,214.4475,0.0285
215,Mic1,215.4475,0.0285
216,Mic1,216.4475,0.0285
217,Mic1,217.4475,0.0285
218,Mic1,218.4475,0.0285
219,Mic1,219.4475,0.0285
220,Mic1,220.4475,0.0285
221,Mic1,221.4475,0.0285
222,Mic1,222.4475,0.02775
223,Mic1,223.4475,0.02775
224,Mic1,224.4475,0.0285
225,Mic1,225.4475,0.0285
226,Mic1,226.4475,0.0285
227,Mic1,227.44725,0.0285
228,Mic1,228.44725,0.02875
229,Mic1,229.44725,0.028
230,Mic1,230.44725,0.0285
231,Mic1,231.44725,0.0285
232,Mic1,232.44725,0.02875
233,Mic1,233.44725,0.02875
234,Mic1,234.44725,0.02875
235,Mic1,235.44725,0.02875
236,Mic1,236.44725,0.0285
237,Mic1,237.44725,0.02775
238,Mic1,238.44725,0.02775
239,Mic1,239.44725,0.0285
240,Mic1,240.44725,0.0285
241,Mic1,241.44725,0.0285
242,Mic1,242.44725,0.0285
243,Mic1,243.44725,0.0285
244,Mic1,244.44725,0.0285
245,Mic1,245.44725,0.0285
246,Mic1,246.44725,0.0285
247,Mic1,247.44725,0.02775
248,Mic1,248.44725,0.0285
249,Mic1,249.44725,0.0285
250,Mic1,250.44725,0.0285
251,Mic1,251.44725,0.0285
252,Mic1,252.44725,0.0285
253,Mic1,253.44725,0.0285
254,Mic1,254.447,0.02875
255,Mic1,255.447,0.0285
256,Mic1,256.447,0.0285
257,Mic1,257.447,0.02875
258,Mic1,258.447,0.0285
259,Mic1,259.447,0.0285
260,Mic1,260.447,0.0285
261,Mic1,261.447,0.0285
262,Mic1,262.447,0.02875
263,Mic1,263.447,0.02775
264,Mic1,264.447,0.02875
265,Mic1,265.447,0.02775
266,Mic1,266.447,0.0285
267,Mic1,267.447,0.0285
268,Mic1,268.447,0.0285
269,Mic1,269.447,0.0285
270,Mic1,270.447,0.0285
271,Mic1,271.447,0.0285
272,Mic1,272.447,0.02775
273,Mic1,273.447,0.0285
274,Mic1,274.447,0.0285
275,Mic1,275.447,0.02775
276,Mic1,276.447,0.0285
277,Mic1,277.447,0.0285
278,Mic1,278.447,0.0285
279,Mic1,279.447,0.0285
280,Mic1,280.44675,0.028
281,Mic1,281.44675,0.0285
282,Mic1,282.44675,0.028
283,Mic1,283.44675,0.0285
284,Mic1,284.44675,0.02775
285,Mic1,285.44675,0.02775
286,Mic1,286.44675,0.02775
287,Mic1,287.44675,0.0285
288,Mic1,288.44675,0.0285
289,Mic1,289.44675,0.02775
290,Mic1,290.44675,0.02875
291,Mic1,291.44675,0.0285
292,Mic1,292.44675,0.0285
293,Mic1,293.44675,0.0285
294,Mic1,294.44675,0.02775
295,Mic1,295.44675,0.02775
296,Mic1,296.44675,0.0285
297,Mic1,297.44675,0.0285
298,Mic1,298.44675,0.0285
299,Mic1,299.44675,0.02775
300,Mic1,300.44675,0.0285
301,Mic1,301.44675,0.0285
302,Mic1,302.44675,0.02775
303,Mic1,303.44675,0.0285
304,Mic1,304.44675,0.02775
305,Mic1,305.44675,0.0285
306,Mic1,306.4465,0.02775
307,Mic1,307.4465,0.02875
308,Mic1,308.4465,0.02875
309,Mic1,309.4465,0.028
310,Mic1,310.4465,0.0285
311,Mic1,311.4465,0.02875
