"","Type","Onset","Duration"
"157","Mic1",158.0905,0.0285
"158","Mic1",159.09025,0.02875
"159","Mic1",160.09025,0.0285
"160","Mic1",161.09025,0.0285
"161","Mic1",162.09025,0.02875
"162","Mic1",163.09025,0.02875
"163","Mic1",164.09025,0.02875
"164","Mic1",165.09025,0.02875
"165","Mic1",166.09025,0.02875
"166","Mic1",167.09025,0.0285
"167","Mic1",168.09025,0.0285
"168","Mic1",169.09025,0.0285
"169","Mic1",170.09025,0.0285
"170","Mic1",171.09025,0.0285
"171","Mic1",172.09025,0.0285
"172","Mic1",173.09025,0.0285
"173","Mic1",174.09025,0.0285
"174","Mic1",175.09025,0.0285
"175","Mic1",176.09025,0.0285
"176","Mic1",177.09025,0.0285
"177","Mic1",178.09025,0.02875
"178","Mic1",179.09025,0.0285
"179","Mic1",180.09025,0.0285
"180","Mic1",181.09025,0.0285
"181","Mic1",182.09025,0.0285
"182","Mic1",183.09025,0.0285
"183","Mic1",184.09025,0.0285
"184","Mic1",185.09,0.02875
"185","Mic1",186.09,0.02875
"186","Mic1",187.09,0.02875
"187","Mic1",188.09,0.02875
"188","Mic1",189.09,0.02875
"189","Mic1",190.09,0.02875
"190","Mic1",191.09,0.02875
"191","Mic1",192.09,0.02875
"192","Mic1",193.09,0.02875
"193","Mic1",194.09,0.02875
"194","Mic1",195.09,0.02775
"195","Mic1",196.09,0.02875
"196","Mic1",197.09,0.02875
"197","Mic1",198.09,0.02875
"198","Mic1",199.09,0.02875
"199","Mic1",200.09,0.0285
"200","Mic1",201.09,0.02775
"201","Mic1",202.09,0.0285
"202","Mic1",203.09,0.0285
"203","Mic1",204.09,0.0285
"204","Mic1",205.09,0.0285
"205","Mic1",206.09,0.02775
"206","Mic1",207.09,0.02775
"207","Mic1",208.09,0.0285
"208","Mic1",209.09,0.0285
"209","Mic1",210.09,0.0285
"210","Mic1",211.09,0.0285
"211","Mic1",212.08975,0.0285
"212","Mic1",213.08975,0.0285
"213","Mic1",214.08975,0.02875
"214","Mic1",215.08975,0.0285
"215","Mic1",216.08975,0.0285
"216","Mic1",217.08975,0.0285
"217","Mic1",218.08975,0.0285
"218","Mic1",219.08975,0.0285
"219","Mic1",220.08975,0.0285
"220","Mic1",221.08975,0.0285
"221","Mic1",222.08975,0.02775
"222","Mic1",223.08975,0.02775
"223","Mic1",224.08975,0.0285
"224","Mic1",225.08975,0.02775
"225","Mic1",226.08975,0.02775
"226","Mic1",227.08975,0.0285
"227","Mic1",228.08975,0.0285
"228","Mic1",229.08975,0.0285
"229","Mic1",230.08975,0.02775
"230","Mic1",231.08975,0.0285
"231","Mic1",232.08975,0.0285
"232","Mic1",233.08975,0.0285
"233","Mic1",234.08975,0.0285
"234","Mic1",235.08975,0.0285
"235","Mic1",236.08975,0.0285
"236","Mic1",237.08975,0.0285
"237","Mic1",238.0895,0.028
"238","Mic1",239.0895,0.028
"239","Mic1",240.0895,0.02875
"240","Mic1",241.0895,0.02875
"241","Mic1",242.0895,0.0285
"242","Mic1",243.0895,0.0285
"243","Mic1",244.0895,0.02875
"244","Mic1",245.0895,0.02875
"245","Mic1",246.0895,0.02775
"246","Mic1",247.0895,0.0285
"247","Mic1",248.0895,0.02875
"248","Mic1",249.0895,0.0285
"249","Mic1",250.0895,0.0285
"250","Mic1",251.0895,0.0285
"251","Mic1",252.0895,0.02775
"252","Mic1",253.0895,0.0285
"253","Mic1",254.0895,0.02775
"254","Mic1",255.0895,0.02775
"255","Mic1",256.0895,0.02775
"256","Mic1",257.0895,0.0285
"257","Mic1",258.0895,0.0285
"258","Mic1",259.0895,0.02775
"259","Mic1",260.0895,0.02775
"260","Mic1",261.0895,0.0285
"261","Mic1",262.0895,0.0285
"262","Mic1",263.08925,0.028
"263","Mic1",264.08925,0.028
"264","Mic1",265.08925,0.0285
"265","Mic1",266.08925,0.02875
"266","Mic1",267.08925,0.0285
"267","Mic1",268.08925,0.02775
"268","Mic1",269.08925,0.02775
"269","Mic1",270.08925,0.0285
"270","Mic1",271.08925,0.02775
"271","Mic1",272.08925,0.0285
"272","Mic1",273.08925,0.0285
"273","Mic1",274.08925,0.0285
"274","Mic1",275.08925,0.02875
"275","Mic1",276.08925,0.0285
"276","Mic1",277.08925,0.0285
"277","Mic1",278.08925,0.0285
"278","Mic1",279.08925,0.02775
"279","Mic1",280.08925,0.02775
"280","Mic1",281.08925,0.0285
"281","Mic1",282.08925,0.02775
"282","Mic1",283.08925,0.02775
"283","Mic1",284.08925,0.02775
"284","Mic1",285.08925,0.02775
"285","Mic1",286.08925,0.0285
"286","Mic1",287.08925,0.0285
"287","Mic1",288.08925,0.0285
"288","Mic1",289.089,0.028
"289","Mic1",290.089,0.02875
"290","Mic1",291.089,0.0285
"291","Mic1",292.089,0.02875
"292","Mic1",293.089,0.028
"293","Mic1",294.089,0.02775
"294","Mic1",295.089,0.0285
"295","Mic1",296.089,0.0285
"296","Mic1",297.089,0.0285
"297","Mic1",298.089,0.02875
"298","Mic1",299.089,0.02775
"299","Mic1",300.089,0.02775
"300","Mic1",301.089,0.0285
"301","Mic1",302.089,0.0285
"302","Mic1",303.089,0.0285
"303","Mic1",304.089,0.02775
"304","Mic1",305.089,0.0285
"305","Mic1",306.089,0.0285
"306","Mic1",307.089,0.02775
"307","Mic1",308.089,0.0285
"308","Mic1",309.089,0.0285
"309","Mic1",310.089,0.02775
"310","Mic1",311.089,0.02775
"311","Mic1",312.089,0.0285
"312","Mic1",313.089,0.0285
"313","Mic1",314.089,0.0285
"314","Mic1",315.089,0.0285
"315","Mic1",316.08875,0.02875
"316","Mic1",317.08875,0.028
"317","Mic1",318.08875,0.028
"318","Mic1",319.08875,0.0285
"319","Mic1",320.08875,0.02775
"320","Mic1",321.08875,0.02875
"321","Mic1",322.08875,0.02775
"322","Mic1",323.08875,0.02775
"323","Mic1",324.08875,0.02775
"324","Mic1",325.08875,0.02775
"325","Mic1",326.08875,0.02775
"326","Mic1",327.08875,0.02775
"327","Mic1",328.08875,0.02775
"328","Mic1",329.08875,0.0285
"329","Mic1",330.08875,0.02775
"330","Mic1",331.08875,0.02775
"331","Mic1",332.08875,0.02775
"332","Mic1",333.08875,0.02775
"333","Mic1",334.08875,0.0285
"334","Mic1",335.08875,0.02775
"335","Mic1",336.08875,0.02775
"336","Mic1",337.08875,0.0285
"337","Mic1",338.08875,0.0285
"338","Mic1",339.08875,0.0285
"339","Mic1",340.08875,0.0285
"340","Mic1",341.0885,0.02875
"341","Mic1",342.0885,0.02875
"342","Mic1",343.0885,0.028
"343","Mic1",344.0885,0.0285
"344","Mic1",345.0885,0.0285
"345","Mic1",346.0885,0.0285
"346","Mic1",347.0885,0.02875
"347","Mic1",348.0885,0.02775
"348","Mic1",349.0885,0.02775
"349","Mic1",350.0885,0.02775
"350","Mic1",351.0885,0.0285
"351","Mic1",352.0885,0.02875
"352","Mic1",353.0885,0.02875
"353","Mic1",354.0885,0.02775
"354","Mic1",355.0885,0.0285
"355","Mic1",356.0885,0.0285
"356","Mic1",357.0885,0.0285
"357","Mic1",358.0885,0.02775
"358","Mic1",359.0885,0.0285
"359","Mic1",360.0885,0.02775
"360","Mic1",361.0885,0.0285
"361","Mic1",362.0885,0.0285
"362","Mic1",363.0885,0.0285
"363","Mic1",364.0885,0.0285
"364","Mic1",365.0885,0.0285
"365","Mic1",366.0885,0.0285
"366","Mic1",367.08825,0.028
"367","Mic1",368.08825,0.028
"368","Mic1",369.08825,0.02875
"369","Mic1",370.08825,0.028
"370","Mic1",371.08825,0.02875
"371","Mic1",372.08825,0.02775
"372","Mic1",373.08825,0.0285
"373","Mic1",374.08825,0.0285
"374","Mic1",375.08825,0.0285
"375","Mic1",376.08825,0.02775
"376","Mic1",377.08825,0.0285
"377","Mic1",378.08825,0.02875
"378","Mic1",379.08825,0.02775
"379","Mic1",380.08825,0.0285
"380","Mic1",381.08825,0.0285
"381","Mic1",382.08825,0.0285
"382","Mic1",383.08825,0.0285
"383","Mic1",384.08825,0.02775
"384","Mic1",385.08825,0.0285
"385","Mic1",386.08825,0.02775
"386","Mic1",387.08825,0.0285
"387","Mic1",388.08825,0.02775
"388","Mic1",389.08825,0.0285
"389","Mic1",390.08825,0.02775
"390","Mic1",391.08825,0.0285
"391","Mic1",392.08825,0.0285
"392","Mic1",393.088,0.028
"393","Mic1",394.088,0.02875
"394","Mic1",395.088,0.02875
"395","Mic1",396.088,0.028
"396","Mic1",397.088,0.028
"397","Mic1",398.088,0.02775
"398","Mic1",399.088,0.0285
"399","Mic1",400.088,0.02875
"400","Mic1",401.088,0.02775
"401","Mic1",402.088,0.0285
"402","Mic1",403.088,0.02875
"403","Mic1",404.088,0.02875
"404","Mic1",405.088,0.02775
"405","Mic1",406.088,0.02875
"406","Mic1",407.088,0.0285
"407","Mic1",408.088,0.02775
"408","Mic1",409.088,0.0285
"409","Mic1",410.088,0.0285
"410","Mic1",411.088,0.0285
"411","Mic1",412.088,0.0285
"412","Mic1",413.088,0.0285
"413","Mic1",414.088,0.0285
"414","Mic1",415.088,0.02775
"415","Mic1",416.088,0.0285
"416","Mic1",417.088,0.0285
"417","Mic1",418.08775,0.028
"418","Mic1",419.088,0.0285
"419","Mic1",420.08775,0.02875
"420","Mic1",421.08775,0.0285
"421","Mic1",422.08775,0.02875
"422","Mic1",423.08775,0.0285
"423","Mic1",424.08775,0.02875
"424","Mic1",425.08775,0.02775
"425","Mic1",426.08775,0.0285
"426","Mic1",427.08775,0.0285
"427","Mic1",428.08775,0.0285
"428","Mic1",429.08775,0.0285
"429","Mic1",430.08775,0.0285
"430","Mic1",431.08775,0.0285
"431","Mic1",432.08775,0.0285
"432","Mic1",433.08775,0.0285
"433","Mic1",434.08775,0.02775
"434","Mic1",435.08775,0.02775
"435","Mic1",436.08775,0.02775
"436","Mic1",437.08775,0.0285
"437","Mic1",438.08775,0.0285
"438","Mic1",439.08775,0.02775
"439","Mic1",440.08775,0.0285
"440","Mic1",441.08775,0.02775
"441","Mic1",442.08775,0.0285
"442","Mic1",443.08775,0.0285
"443","Mic1",444.0875,0.02875
"444","Mic1",445.0875,0.028
"445","Mic1",446.0875,0.02875
"446","Mic1",447.0875,0.02875
"447","Mic1",448.0875,0.02875
"448","Mic1",449.0875,0.02875
"449","Mic1",450.0875,0.028
"450","Mic1",451.0875,0.02875
"451","Mic1",452.0875,0.0285
"452","Mic1",453.0875,0.02875
"453","Mic1",454.0875,0.0285
"454","Mic1",455.0875,0.02875
"455","Mic1",456.0875,0.02875
"456","Mic1",457.0875,0.0285
"457","Mic1",458.0875,0.0285
"458","Mic1",459.0875,0.02775
"459","Mic1",460.0875,0.02775
"460","Mic1",461.0875,0.0285
"461","Mic1",462.0875,0.02775
"462","Mic1",463.0875,0.02775
"463","Mic1",464.0875,0.0285
"464","Mic1",465.0875,0.0285
"465","Mic1",466.0875,0.0285
"466","Mic1",467.0875,0.0285
"467","Mic1",468.0875,0.02775
"468","Mic1",469.0875,0.02775
"469","Mic1",470.0875,0.0285
"470","Mic1",471.0875,0.0285
"471","Mic1",472.08725,0.028
"472","Mic1",473.08725,0.028
"473","Mic1",474.08725,0.02875
"474","Mic1",475.08725,0.0285
"475","Mic1",476.08725,0.0285
"476","Mic1",477.08725,0.0285
"477","Mic1",478.08725,0.02875
"478","Mic1",479.08725,0.0285
"479","Mic1",480.08725,0.0285
"480","Mic1",481.08725,0.02875
"481","Mic1",482.08725,0.0285
"482","Mic1",483.08725,0.0285
"483","Mic1",484.08725,0.0285
"484","Mic1",485.08725,0.0285
"485","Mic1",486.08725,0.0285
"486","Mic1",487.08725,0.0285
"487","Mic1",488.08725,0.0285
"488","Mic1",489.08725,0.0285
"489","Mic1",490.08725,0.0285
"490","Mic1",491.08725,0.0285
"491","Mic1",492.08725,0.0285
"492","Mic1",493.08725,0.0285
"493","Mic1",494.08725,0.0285
"494","Mic1",495.08725,0.0285
"495","Mic1",496.08725,0.0285
"496","Mic1",497.087,0.028
"497","Mic1",498.087,0.02875
"498","Mic1",499.087,0.0285
"499","Mic1",500.087,0.02875
"500","Mic1",501.087,0.02875
"501","Mic1",502.087,0.02875
"502","Mic1",503.087,0.0285
"503","Mic1",504.087,0.02875
"504","Mic1",505.087,0.02775
"505","Mic1",506.087,0.0285
"506","Mic1",507.087,0.02775
"507","Mic1",508.087,0.02775
"508","Mic1",509.087,0.0285
"509","Mic1",510.087,0.0285
"510","Mic1",511.087,0.0285
"511","Mic1",512.087,0.02775
"512","Mic1",513.087,0.02775
"513","Mic1",514.087,0.0285
"514","Mic1",515.087,0.02775
"515","Mic1",516.087,0.0285
"516","Mic1",517.087,0.0285
"517","Mic1",518.087,0.0285
"518","Mic1",519.087,0.0285
"519","Mic1",520.087,0.0285
"520","Mic1",521.087,0.0285
"521","Mic1",522.087,0.02775
"522","Mic1",523.087,0.0285
"523","Mic1",524.08675,0.028
"524","Mic1",525.08675,0.028
"525","Mic1",526.08675,0.0285
"526","Mic1",527.08675,0.02875
"527","Mic1",528.08675,0.0285
"528","Mic1",529.08675,0.02775
"529","Mic1",530.08675,0.0285
"530","Mic1",531.08675,0.0285
"531","Mic1",532.08675,0.0285
"532","Mic1",533.08675,0.02775
"533","Mic1",534.08675,0.0285
"534","Mic1",535.08675,0.0285
"535","Mic1",536.08675,0.02875
"536","Mic1",537.08675,0.02775
"537","Mic1",538.08675,0.0285
"538","Mic1",539.08675,0.02775
"539","Mic1",540.08675,0.0285
"540","Mic1",541.08675,0.0285
"541","Mic1",542.08675,0.0285
"542","Mic1",543.08675,0.0285
"543","Mic1",544.08675,0.02775
"544","Mic1",545.08675,0.02775
"545","Mic1",546.08675,0.02775
"546","Mic1",547.08675,0.02775
"547","Mic1",548.0865,0.02875
"548","Mic1",549.08675,0.02825
"549","Mic1",550.0865,0.02875
"550","Mic1",551.0865,0.02875
"551","Mic1",552.0865,0.0285
"552","Mic1",553.0865,0.02875
"553","Mic1",554.0865,0.02875
"554","Mic1",555.0865,0.02775
"555","Mic1",556.0865,0.02875
"556","Mic1",557.0865,0.0285
"557","Mic1",558.0865,0.0285
"558","Mic1",559.0865,0.02875
"559","Mic1",560.0865,0.0285
"560","Mic1",561.0865,0.0285
"561","Mic1",562.0865,0.0285
"562","Mic1",563.0865,0.02875
"563","Mic1",564.0865,0.0285
"564","Mic1",565.0865,0.02775
"565","Mic1",566.0865,0.0285
"566","Mic1",567.0865,0.0285
"567","Mic1",568.0865,0.02775
"568","Mic1",569.0865,0.0285
"569","Mic1",570.0865,0.0285
"570","Mic1",571.0865,0.0285
"571","Mic1",572.0865,0.02775
"572","Mic1",573.0865,0.0285
"573","Mic1",574.0865,0.0285
"574","Mic1",575.08625,0.028
"575","Mic1",576.08625,0.028
"576","Mic1",577.08625,0.028
"577","Mic1",578.08625,0.02875
"578","Mic1",579.08625,0.028
"579","Mic1",580.08625,0.02875
"580","Mic1",581.08625,0.02875
"581","Mic1",582.08625,0.02775
"582","Mic1",583.08625,0.02875
"583","Mic1",584.08625,0.0285
"584","Mic1",585.08625,0.02775
"585","Mic1",586.08625,0.0285
"586","Mic1",587.08625,0.02775
"587","Mic1",588.08625,0.02875
"588","Mic1",589.08625,0.02775
"589","Mic1",590.08625,0.02775
"590","Mic1",591.08625,0.0285
"591","Mic1",592.08625,0.0285
"592","Mic1",593.08625,0.02775
"593","Mic1",594.08625,0.02775
"594","Mic1",595.08625,0.0285
"595","Mic1",596.08625,0.0285
"596","Mic1",597.08625,0.02775
"597","Mic1",598.08625,0.0285
"598","Mic1",599.08625,0.0285
"599","Mic1",600.08625,0.0285
"600","Opto4",0.00025,0.00025
