,Type,Onset,Duration
1,Mic1,1.82075,0.02025
2,Mic1,2.82075,0.02625
3,Mic1,3.822,0.02375
4,Mic1,4.82025,0.02675
5,Mic1,5.82075,0.02775
6,Mic1,6.822,0.02375
7,Mic1,7.82075,0.02
8,Mic1,8.82275,0.023
9,Mic1,9.82075,0.025
10,Mic1,10.82175,0.024
11,Mic1,11.8205,0.02025
12,Mic1,12.8205,0.02025
13,Mic1,13.8205,0.02025
14,Mic1,14.82175,0.024
15,Mic1,15.8205,0.02525
16,Mic1,16.8205,0.02625
17,Mic1,17.82075,0.02
18,Mic1,18.82175,0.024
19,Mic1,19.82075,0.025
20,Mic1,20.8205,0.02525
21,Mic1,21.82075,0.025
22,Mic1,22.82075,0.025
23,Mic1,23.8205,0.02025
24,Mic1,24.8205,0.028
25,Mic1,25.82,0.0225
26,Mic1,26.8205,0.02625
27,Mic1,27.8225,0.02325
28,Mic1,28.82175,0.024
29,Mic1,29.82075,0.0245
30,Mic1,30.82075,0.025
31,Mic1,31.8205,0.025
32,Mic1,32.82,0.0255
33,Mic1,33.82175,0.02375
34,Mic1,34.82,0.0255
35,Mic1,35.82175,0.02375
36,Mic1,36.8205,0.025
37,Mic1,37.82025,0.02625
38,Mic1,38.82025,0.028
39,Mic1,39.82025,0.02625
40,Mic1,40.82025,0.025
41,Mic1,41.8205,0.025
42,Mic1,42.82025,0.025
43,Mic1,43.8215,0.024
44,Mic1,44.8255,0.021
45,Mic1,45.82025,0.02525
46,Mic1,46.81975,0.02575
47,Mic1,47.8205,0.025
48,Mic1,48.82025,0.028
49,Mic1,49.81975,0.02675
50,Mic1,50.81975,0.02675
51,Mic1,51.82025,0.028
52,Mic1,52.8215,0.024
53,Mic1,53.8205,0.025
54,Mic1,54.81975,0.02675
55,Mic1,55.82025,0.02625
56,Mic1,56.8205,0.02775
57,Mic1,57.82025,0.02525
58,Mic1,58.8265,0.02
59,Mic1,59.82025,0.02
60,Mic1,60.81975,0.02675
61,Mic1,61.82025,0.02475
62,Mic1,62.82125,0.024
63,Mic1,63.82125,0.024
64,Mic1,64.81975,0.02675
65,Mic1,65.82025,0.025
66,Mic1,66.82,0.02625
67,Mic1,67.82025,0.021
68,Mic1,68.82125,0.024
69,Mic1,69.82025,0.025
70,Mic1,70.82,0.02025
71,Mic1,71.82,0.02025
72,Mic1,72.82125,0.024
73,Mic1,73.82025,0.026
74,Mic1,74.82,0.028
75,Mic1,75.82025,0.02475
76,Mic1,76.82,0.02625
77,Mic1,77.82625,0.02
78,Mic1,78.82125,0.025
79,Mic1,79.82025,0.025
80,Mic1,80.82,0.02625
81,Mic1,81.82,0.02625
82,Mic1,82.82125,0.024
83,Mic1,83.82,0.02
84,Mic1,84.82,0.02625
85,Mic1,85.82,0.02525
86,Mic1,86.8195,0.0255
87,Mic1,87.822,0.02425
88,Mic1,88.82,0.025
89,Mic1,89.82,0.025
90,Mic1,90.81975,0.02025
91,Mic1,91.821,0.024
92,Mic1,92.821,0.024
93,Mic1,93.81975,0.028
94,Mic1,94.821,0.024
95,Mic1,95.82,0.025
96,Mic1,96.821,0.024
97,Mic1,97.82,0.025
98,Mic1,98.81975,0.02625
99,Mic1,99.81975,0.02625
100,Mic1,100.82,0.025
101,Mic1,101.82175,0.02325
102,Mic1,102.82,0.025
103,Mic1,103.82,0.025
104,Mic1,104.81975,0.02625
105,Mic1,105.82,0.025
106,Mic1,106.821,0.024
107,Mic1,107.81975,0.028
108,Mic1,108.82,0.02475
109,Mic1,109.81925,0.0255
110,Mic1,110.821,0.02375
111,Mic1,111.821,0.02375
112,Mic1,112.82,0.02475
113,Mic1,113.81975,0.02
114,Mic1,114.821,0.02375
115,Mic1,115.81975,0.02775
116,Mic1,116.8195,0.02625
117,Mic1,117.82075,0.024
118,Mic1,118.82075,0.024
119,Mic1,119.81975,0.025
120,Mic1,120.82075,0.024
121,Mic1,121.81975,0.02775
122,Mic1,122.81975,0.02775
123,Mic1,123.82075,0.024
124,Mic1,124.8195,0.028
125,Mic1,125.81975,0.02775
126,Mic1,126.81975,0.02475
127,Mic1,127.8195,0.028
128,Mic1,128.8195,0.02625
129,Mic1,129.81975,0.02775
130,Mic1,130.8215,0.02425
131,Mic1,131.819,0.02675
132,Mic1,132.8195,0.028
133,Mic1,133.81975,0.025
134,Mic1,134.81975,0.025
135,Mic1,135.819,0.02575
136,Mic1,136.8195,0.028
137,Mic1,137.819,0.02575
138,Mic1,138.819,0.02675
139,Mic1,139.8195,0.02
140,Mic1,140.8195,0.02
141,Mic1,141.8195,0.02
142,Mic1,142.8195,0.02
143,Mic1,143.8195,0.02775
144,Mic1,144.81925,0.02025
145,Mic1,145.8195,0.025
146,Mic1,146.8195,0.02775
147,Mic1,147.8205,0.024
148,Mic1,148.8205,0.024
149,Mic1,149.8195,0.025
150,Mic1,150.81925,0.02625
151,Mic1,151.82125,0.02325
152,Mic1,152.8205,0.024
153,Mic1,153.81925,0.02025
154,Mic1,154.81925,0.028
155,Mic1,155.81925,0.02025
156,Mic1,156.81875,0.02575
157,Mic1,157.8195,0.02775
158,Mic1,158.8205,0.024
159,Mic1,159.8205,0.024
160,Mic1,160.81925,0.028
161,Mic1,161.81925,0.028
162,Mic1,162.8205,0.025
163,Mic1,163.81925,0.02025
164,Mic1,164.8205,0.024
165,Mic1,165.8195,0.0275
166,Mic1,166.8195,0.025
167,Mic1,167.81925,0.02125
168,Mic1,168.8205,0.02375
169,Mic1,169.8195,0.026
170,Mic1,170.81925,0.026
171,Mic1,171.81925,0.02475
172,Mic1,172.81925,0.026
173,Mic1,173.82025,0.024
174,Mic1,174.81925,0.025
175,Mic1,175.819,0.028
176,Mic1,176.819,0.02625
177,Mic1,177.81925,0.02775
178,Mic1,178.819,0.028
179,Mic1,179.81925,0.02775
180,Mic1,180.81925,0.02775
181,Mic1,181.81925,0.02775
182,Mic1,182.8185,0.02575
183,Mic1,183.81925,0.025
184,Mic1,184.819,0.028
185,Mic1,185.82025,0.024
186,Mic1,186.819,0.028
187,Mic1,187.82025,0.024
188,Mic1,188.81925,0.02425
189,Mic1,189.819,0.028
190,Mic1,190.82025,0.024
191,Mic1,191.819,0.028
192,Mic1,192.819,0.02025
193,Mic1,193.82025,0.024
194,Mic1,194.819,0.02
195,Mic1,195.819,0.02775
196,Mic1,196.819,0.02
197,Mic1,197.819,0.025
198,Mic1,198.82025,0.02375
199,Mic1,199.819,0.02
200,Mic1,200.821,0.023
201,Mic1,201.81875,0.02025
202,Mic1,202.81875,0.028
203,Mic1,203.81875,0.02625
204,Mic1,204.81875,0.02025
205,Mic1,205.81875,0.02625
206,Mic1,206.81875,0.028
207,Mic1,207.81875,0.02525
208,Mic1,208.81875,0.02625
209,Mic1,209.81875,0.028
210,Mic1,210.81875,0.02625
211,Mic1,211.82,0.024
212,Mic1,212.81875,0.028
213,Mic1,213.81825,0.02675
214,Mic1,214.81875,0.02625
215,Mic1,215.81825,0.02575
216,Mic1,216.819,0.025
217,Mic1,217.81875,0.02625
218,Mic1,218.82,0.024
219,Mic1,219.81875,0.02025
220,Mic1,220.819,0.0275
221,Mic1,221.819,0.0275
222,Mic1,222.81875,0.025
223,Mic1,223.81875,0.02775
224,Mic1,224.81825,0.0255
225,Mic1,225.81875,0.02775
226,Mic1,226.81875,0.02775
227,Mic1,227.81875,0.026
228,Mic1,228.81875,0.026
229,Mic1,229.8185,0.028
230,Mic1,230.81875,0.02775
231,Mic1,231.81825,0.0255
232,Mic1,232.81825,0.0255
233,Mic1,233.81825,0.0265
234,Mic1,234.81875,0.02775
235,Mic1,235.81875,0.025
236,Mic1,236.81875,0.02775
237,Mic1,237.81975,0.024
