,Type,Onset,Duration,,
510,Mic1,"514,28225","0,02475","1,00049999999999",1.00049999999999
511,Mic1,"515,28275","0,025","0,999500000000012",0.999500000000012
512,Mic1,"516,28225","0,028","0,999750000000063",0.999750000000063
513,Mic1,"517,282","0,02575",1,1
514,Mic1,"518,282","0,02575","1,00074999999993",1.00074999999993
515,Mic1,"519,28275","0,025","0,999500000000012",0.999500000000012
516,Mic1,"520,28225","0,028","1,00049999999999",1.00049999999999
517,Mic1,"521,28275","0,025",1,1
518,Mic1,"522,28275","0,02","0,999250000000075",0.999250000000075
519,Mic1,"523,282","0,02825","1,00074999999993",1.00074999999993
520,Mic1,"524,28275","0,02775","0,999250000000075",0.999250000000075
521,Mic1,"525,282","0,0205","1,00049999999999",1.00049999999999
522,Mic1,"526,2825","0,02775","0,999500000000012",0.999500000000012
523,Mic1,"527,282","0,02825","1,00049999999999",1.00049999999999
524,Mic1,"528,2825","0,025","1,005",1.005
525,Mic1,"529,2875","0,02125",1,1
526,Mic1,"530,2875","0,02","0,995000000000005",0.995000000000005
527,Mic1,"531,2825","0,02775",1,1
528,Mic1,"532,2825","0,02775","0,999500000000012",0.999500000000012
529,Mic1,"533,282","0,02825","1,00049999999999",1.00049999999999
530,Mic1,"534,2825","0,02775","1,00099999999998",1.00099999999998
531,Mic1,"535,2835","0,02525","0,999000000000024",0.999000000000024
532,Mic1,"536,2825","0,02775",1,1
533,Mic1,"537,2825","0,02775",1,1
534,Mic1,"538,2825","0,02775","0,999500000000012",0.999500000000012
535,Mic1,"539,282","0,02825",1,1
536,Mic1,"540,282","0,0255","1,00049999999999",1.00049999999999
537,Mic1,"541,2825","0,025","0,999500000000012",0.999500000000012
538,Mic1,"542,282","0,02825",1,1
539,Mic1,"543,282","0,02825","1,00049999999999",1.00049999999999
540,Mic1,"544,2825","0,02775","0,999749999999949",0.999749999999949
541,Mic1,"545,28225","0,02025","0,999750000000063",0.999750000000063
542,Mic1,"546,282","0,02825","1,00049999999999",1.00049999999999
543,Mic1,"547,2825","0,025",1,1
544,Mic1,"548,2825","0,02775","0,999500000000012",0.999500000000012
545,Mic1,"549,282","0,02825","1,00049999999999",1.00049999999999
546,Mic1,"550,2825","0,025",1,1
547,Mic1,"551,2825","0,025","0,999249999999961",0.999249999999961
548,Mic1,"552,28175","0,0255","1,00075000000004",1.00075000000004
549,Mic1,"553,2825","0,01975",2,2
550,Mic1,"555,2825","0,02775","0,999749999999949",0.999749999999949
551,Mic1,"556,28225","0,025",1,1
552,Mic1,"557,28225","0,028","0,999500000000012",0.999500000000012
553,Mic1,"558,28175","0,0285",1,1
554,Mic1,"559,28175","0,0285","1,00049999999999",1.00049999999999
555,Mic1,"560,28225","0,025",1,1
556,Mic1,"561,28225","0,025","1,005",1.005
557,Mic1,"562,28725","0,02125","0,995000000000005",0.995000000000005
558,Mic1,"563,28225","0,025",1,1
559,Mic1,"564,28225","0,025",1,1
560,Mic1,"565,28225","0,025",1,1
561,Mic1,"566,28225","0,025",1,1
562,Mic1,"567,28225","0,025","0,999500000000012",0.999500000000012
563,Mic1,"568,28175","0,0255","1,00049999999999",1.00049999999999
564,Mic1,"569,28225","0,02775","0,999500000000012",0.999500000000012
565,Mic1,"570,28175","0,0205","1,00049999999999",1.00049999999999
566,Mic1,"571,28225","0,026",1,1
567,Mic1,"572,28225","0,02","1,005",1.005
568,Mic1,"573,28725","0,021","0,995000000000005",0.995000000000005
569,Mic1,"574,28225","0,025","1,005",1.005
570,Mic1,"575,28725","0,021","0,995000000000005",0.995000000000005
571,Mic1,"576,28225","0,025","0,999500000000012",0.999500000000012
572,Mic1,"577,28175","0,0255","1,00149999999996",1.00149999999996
573,Mic1,"578,28325","0,024",1,1
574,Mic1,"579,28325","0,024","0,999000000000024",0.999000000000024
575,Mic1,"580,28225","0,025",1,1
576,Mic1,"581,28225","0,01975","0,999250000000075",0.999250000000075
577,Mic1,"582,2815","0,0205",1,1
578,Mic1,"583,2815","0,0205","1,00074999999993",1.00074999999993
579,Mic1,"584,28225","0,02475","0,999750000000063",0.999750000000063
580,Mic1,"585,282","0,02625",1,1
581,Mic1,"586,282","0,025",1,1
582,Mic1,"587,282","0,025",1,1
583,Mic1,"588,282","0,025",1,1
584,Mic1,"589,282","0,025",1,1
585,Mic1,"590,282","0,025","0,999500000000012",0.999500000000012
586,Mic1,"591,2815","0,0205","1,00049999999999",1.00049999999999
587,Mic1,"592,282","0,025",1,1
588,Mic1,"593,282","0,025",1,1
589,Mic1,"594,282","0,025",1,1
590,Mic1,"595,282","0,02","0,999249999999961",0.999249999999961
591,Mic1,"596,28125","0,02075","1,00075000000004",1.00075000000004
592,Mic1,"597,282","0,025",1,1
593,Mic1,"598,282","0,02",1,1
594,Mic1,"599,282","0,025",1,1
595,Mic1,"600,282","0,02","-600,282",-600.282
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
