Type,Onset,Duration
Opto1,69.40575,0.211
Opto1,69.67275,0.211
Opto1,69.93975,0.22775
Opto1,70.20675,0.228
Opto1,70.47375,0.228
Opto1,70.741,0.22775
Opto1,71.02475,0.21125
Opto1,71.292,0.211
Opto1,71.559,0.22775
Opto1,71.826,0.22775
Opto1,72.093,0.228
Opto1,72.37675,0.21125
Opto1,72.644,0.211
Opto1,72.911,0.22775
Opto1,73.62875,0.22775
Opto1,73.89575,0.228
Opto1,74.16275,0.228
Opto1,74.43,0.22775
Opto1,74.71375,0.21125
Opto1,74.98075,0.21125
Opto1,75.248,0.22775
Opto1,75.515,0.22775
Opto1,75.782,0.228
Opto1,76.066,0.211
Opto1,76.333,0.211
Opto1,76.6,0.22775
Opto1,76.867,0.228
Opto1,77.134,0.228
Opto1,77.40125,0.22775
Opto1,77.685,0.21125
Opto1,77.952,0.228
Opto1,78.219,0.228
Opto1,78.48625,0.22775
Opto1,78.75325,0.228
Opto1,79.02025,0.228
Opto1,79.30425,0.211
Opto1,79.57125,0.22775
Opto1,80.289,0.22775
Opto1,80.556,0.228
Opto1,80.823,0.228
Opto1,81.09025,0.22775
Opto1,81.374,0.21125
Opto1,81.641,0.21125
Opto1,81.90825,0.22775
Opto1,82.17525,0.22775
Opto1,82.44225,0.228
Opto1,82.726,0.21125
Opto1,82.993,0.21125
Opto1,83.26025,0.22775
Opto1,83.52725,0.228
Opto1,83.79425,0.228
Opto1,84.52875,0.21125
Opto1,84.796,0.211
Opto1,85.063,0.21125
Opto1,85.33,0.21125
Opto1,85.59725,0.22775
Opto1,85.86425,0.22775
Opto1,86.13125,0.22775
Opto1,86.415,0.21125
Opto1,87.13275,0.21125
Opto1,87.4,0.22775
Opto1,87.667,0.22775
Opto1,87.934,0.228
Opto1,88.201,0.228
Opto1,88.485,0.211
Opto1,88.752,0.211
Opto1,89.019,0.228
Opto1,89.73675,0.2445
Opto1,90.0205,0.21125
Opto1,90.28775,0.211
Opto1,90.55475,0.21125
Opto1,90.82175,0.228
Opto1,91.08875,0.228
Opto1,91.356,0.22775
Opto1,91.623,0.228
Opto1,91.89,0.228
Opto1,92.174,0.211
Opto1,92.441,0.211
Opto1,93.15875,0.22775
Opto1,93.42575,0.228
Opto1,93.69275,0.228
Opto1,93.97675,0.211
Opto1,94.24375,0.21125
Opto1,94.51075,0.21125
Opto1,94.778,0.22775
Opto1,95.045,0.22775
Opto1,95.312,0.228
Opto1,95.579,0.228
Opto1,96.3135,0.21125
Opto1,96.58075,0.22775
Opto1,96.84775,0.22775
Opto1,97.11475,0.228
Opto1,97.38175,0.228
Opto1,97.66575,0.211
Opto1,97.93275,0.211
Opto1,98.19975,0.228
Opto1,98.46675,0.228
Opto1,98.734,0.22775
Opto1,99.001,0.22775
Opto1,99.28475,0.21125
Opto1,99.552,0.211
Opto1,99.819,0.211
Opto1,100.086,0.22775
Opto1,100.353,0.228
Opto1,100.637,0.211
Opto1,100.904,0.211
Opto1,101.62175,0.22775
Opto1,101.88875,0.228
Opto1,102.15575,0.228
Opto1,102.423,0.22775
Opto1,102.70675,0.211
Opto1,102.97375,0.21125
Opto1,103.241,0.211
Opto1,103.95875,0.22775
Opto1,104.22575,0.22775
Opto1,104.49275,0.228
Opto1,104.7765,0.21125
Opto1,105.04375,0.211
Opto1,105.31075,0.22775
Opto1,105.57775,0.228
Opto1,106.2955,0.228
Opto1,106.5625,0.228
Opto1,106.82975,0.22775
Opto1,107.1135,0.211
Opto1,107.3805,0.228
Opto1,107.6475,0.228
Opto1,107.91475,0.22775
Opto1,108.6325,0.22775
Opto1,108.8995,0.228
Opto1,109.18325,0.21125
Opto1,109.4505,0.22775
Opto1,109.7175,0.22775
Opto1,110.00125,0.21125
Opto1,110.2515,0.228
Opto1,110.5355,0.211
Opto1,110.8025,0.211
Opto1,111.0695,0.228
Opto1,111.3365,0.228
Opto1,111.60375,0.22775
Opto1,111.87075,0.22775
Opto1,112.1545,0.21125
Opto1,112.42175,0.22775
Opto1,112.68875,0.22775
Opto1,112.95575,0.22775
Opto1,113.22275,0.228
Opto1,113.48975,0.228
Opto1,113.77375,0.211
Opto1,114.04075,0.21125
Opto1,114.30775,0.228
Opto1,114.57475,0.228
Opto1,114.842,0.22775
Opto1,115.12575,0.21125
Opto1,115.39275,0.21125
Opto1,115.66,0.211
Opto1,115.927,0.22775
Opto1,116.194,0.228
Opto1,116.461,0.228
Opto1,116.745,0.211
Opto1,117.012,0.21125
Opto1,117.72975,0.22775
Opto1,117.99675,0.228
Opto1,118.26375,0.228
Opto1,118.531,0.22775
Opto1,118.81475,0.21125
Opto1,119.08175,0.228
Opto1,119.34875,0.228
Opto1,119.616,0.22775
Opto1,120.33375,0.22775
Opto1,120.60075,0.228
Opto1,120.8845,0.21125
Opto1,121.15175,0.211
Opto1,121.41875,0.22775
Opto1,121.68575,0.228
Opto1,121.95275,0.228
Opto1,122.23675,0.211
Opto1,122.50375,0.21125
Opto1,122.77075,0.228
Opto1,123.03775,0.228
Opto1,123.305,0.22775
Opto1,123.572,0.228
Opto1,123.85575,0.21125
Opto1,124.123,0.211
Opto1,124.84075,0.211
Opto1,125.10775,0.22775
Opto1,125.37475,0.228
Opto1,125.64175,0.228
Opto1,125.92575,0.211
Opto1,126.19275,0.21125
Opto1,126.9105,0.21125
Opto1,127.1775,0.228
Opto1,127.4445,0.228
Opto1,127.71175,0.22775
Opto1,127.9955,0.21125
Opto1,128.2625,0.21125
Opto1,128.52975,0.22775
Opto1,128.79675,0.22775
Opto1,129.06375,0.228
Opto1,129.33075,0.228
Opto1,129.61475,0.211
Opto1,129.88175,0.21125
Opto1,130.5995,0.22775
Opto1,130.8665,0.228
Opto1,131.1335,0.228
Opto1,131.40075,0.22775
Opto1,131.6845,0.21125
Opto1,131.9515,0.21125
Opto1,132.21875,0.22775
Opto1,132.48575,0.22775
Opto1,132.75275,0.228
Opto1,133.01975,0.228
Opto1,133.30375,0.211
Opto1,133.57075,0.22775
Opto1,133.83775,0.228
Opto1,136.375,0.21125
Opto1,136.62525,0.228
Opto1,136.8925,0.22775
Opto1,137.17625,0.21125
